in s,C1 in V
-2.0279376E+00,2.29492E-02
-2.0279064E+00,2.49023E-02
-2.0278752E+00,2.97852E-02
-2.0278440E+00,3.17383E-02
-2.0278128E+00,2.49023E-02
-2.0277816E+00,2.97852E-02
-2.0277504E+00,3.07617E-02
-2.0277192E+00,3.17383E-02
-2.0276880E+00,2.97852E-02
-2.0276568E+00,3.36914E-02
-2.0276256E+00,3.85742E-02
-2.0275944E+00,3.66211E-02
-2.0275632E+00,3.95508E-02
-2.0275320E+00,4.24805E-02
-2.0275008E+00,4.34570E-02
-2.0274696E+00,4.34570E-02
-2.0274384E+00,4.44336E-02
-2.0274072E+00,4.24805E-02
-2.0273760E+00,4.34570E-02
-2.0273448E+00,5.02930E-02
-2.0273136E+00,4.73633E-02
-2.0272824E+00,4.93164E-02
-2.0272512E+00,5.32227E-02
-2.0272200E+00,5.61523E-02
-2.0271888E+00,5.61523E-02
-2.0271576E+00,5.61523E-02
-2.0271264E+00,5.81055E-02
-2.0270952E+00,5.71289E-02
-2.0270640E+00,5.71289E-02
-2.0270328E+00,5.61523E-02
-2.0270016E+00,6.10352E-02
-2.0269704E+00,6.39648E-02
-2.0269392E+00,6.00586E-02
-2.0269080E+00,5.90820E-02
-2.0268768E+00,6.78711E-02
-2.0268456E+00,6.98242E-02
-2.0268144E+00,6.78711E-02
-2.0267832E+00,6.78711E-02
-2.0267520E+00,7.08008E-02
-2.0267208E+00,7.56836E-02
-2.0266896E+00,7.47070E-02
-2.0266584E+00,7.37305E-02
-2.0266272E+00,7.37305E-02
-2.0265960E+00,7.86133E-02
-2.0265648E+00,7.86133E-02
-2.0265336E+00,7.76367E-02
-2.0265024E+00,8.15430E-02
-2.0264712E+00,8.34961E-02
-2.0264400E+00,8.25195E-02
-2.0264088E+00,8.44727E-02
-2.0263776E+00,8.74023E-02
-2.0263464E+00,8.83789E-02
-2.0263152E+00,8.93555E-02
-2.0262840E+00,8.64258E-02
-2.0262528E+00,8.93555E-02
-2.0262216E+00,9.03320E-02
-2.0261904E+00,9.13086E-02
-2.0261592E+00,9.52148E-02
-2.0261280E+00,9.61914E-02
-2.0260968E+00,9.52148E-02
-2.0260656E+00,9.71680E-02
-2.0260344E+00,1.01074E-01
-2.0260032E+00,9.91211E-02
-2.0259720E+00,9.91211E-02
-2.0259408E+00,1.02051E-01
-2.0259096E+00,1.03027E-01
-2.0258784E+00,1.02051E-01
-2.0258472E+00,1.05957E-01
-2.0258160E+00,1.06934E-01
-2.0257848E+00,1.06934E-01
-2.0257536E+00,1.07910E-01
-2.0257224E+00,1.07910E-01
-2.0256912E+00,1.08887E-01
-2.0256600E+00,1.12793E-01
-2.0256288E+00,1.11816E-01
-2.0255976E+00,1.11816E-01
-2.0255664E+00,1.10840E-01
-2.0255352E+00,1.11816E-01
-2.0255040E+00,1.12793E-01
-2.0254728E+00,1.13770E-01
-2.0254416E+00,1.15723E-01
-2.0254104E+00,1.14746E-01
-2.0253792E+00,1.11816E-01
-2.0253480E+00,1.17676E-01
-2.0253168E+00,1.17676E-01
-2.0252856E+00,1.18652E-01
-2.0252544E+00,1.21582E-01
-2.0252232E+00,1.24512E-01
